0	0,00623	visit glase seminarium zorn reise beendigung extrazeil schalttage dechants diskurs stubentüre merkur beschauung quinte hofprediger einzig pfund rezensent bezahlung justiz 
1	0,05327	zeichen stillschweigen sprache bewunderung strich rand satire schale übrig zustand vorsatz genuß achtung mond zutrauen kreuz hügel attest geliebten fragen 
2	0,00982	gefühl vorschlag herrschaft verwerfung besserung redner angesicht bekümmerni verlangen direktor troschel band glücklichere verbium weiber zettelkasten antritspredigt zusätz loben verschönerung 
3	0,05286	band verbindung aufmerksamkeit sinn punkt wille partei lack brüdern honorar aufnahme schlussstein geliebtester bitte nachsicht last verlegenheit menge schluß harmonie 
4	0,0161	versuch besuch gewicht arzt altmeister rute ehrgefühl vakanz anlage junge anspruch art stil zuversicht blätt protestando behutsamkeit edelleute pantoffelkritik miniaturgemäld 
5	0,03157	kosten niederschlag masse kristall geschwindschreiber extra-blättche brüdern anstoß ehrlichkeit becken herdern künftig herzogen vorhang vorraus getreue glaubensbekennt größe besserung vorliebe 
6	0,02533	hass land geschwister jude vater christ heide unrecht vaterlandsliebe weib examen richter gewand saite konvenienz seelenharmonie motto prece lesedurstig kupfer 
7	0,03211	vorschein seide bauch nachtigal vernichtung hochzeit liebster hinüberzubieg stamm schlafen inhalt messia erziehungsplan handeln tat ehrenwort produkt honeraktion übel kannon 
8	0	
9	0,02304	kompliment schande briefwechsel weibchen ernte geburt prinzessin weihnachten falschheit neujahr besoldung gewohnheit gast horizont angelegenheit ausbildung exerzitienmeister elevnen meisterstück pantoffel 
10	0,01233	ungeduld wohlergehen gasthof mensch rossen geniuss vorsehung stärkungsmittel dasein 
11	0,01901	träne nation leichenrede schriftsteller dienstag genie auge stein brautjungfer karikatur parallele morgenwind figur apotheker aufgabe ästhetik mittwelt frühe monarchium tasse 
12	0,01586	werk schicksal kraft andrang herrschaft venner unterredung heiligenschein willkür nüchternheit säule not frage schriftsteller vergnügen doktores krankenwärterin lobrede markttag heimlicher 
13	0,01284	geschichte kapitel einleitung spott plurali periode publikum folgend eile zusammenhang schuld name trieb handlung anfang verfolg einschaltung verworrenheit einspinn eintrag 
14	0,06976	geschichte handlung entschluss blume vorsatz güte ausführung zorn tochter gefallen freiheit prophet monat schwester ohr gesellschaft wieland sturm exzerpt heil 
15	0,04334	reise stadt wein dez reisebeschreiber feier zürch berg aberglaube leser schrift wohltatigkeit ongefehr erforscher sterben wechseln enthaltsamkeit vorrede magd erheblich 
16	0,02236	jude gesetz feiertag tote not zahl art einheit geschwür entfernung grenze talmudist mischna unrein todesschlummer überschrift termin folie progr anno 
17	0,0165	plan gedächtnis zürnen stinn mittelmäßig bettler poträt nut komedie könt werst wilst welle vorgebirrge freunde bedarfe stoff garten veranlassung klasse 
18	0,03213	fantasie gemüt dornenstück blumenstücke lektüre fleisch wirkung spur abschrift hausvater chaos génie bettlerszene reife mutterherz universitätskirche vorrede zeichnung nebel figur 
19	0,01936	genius witz sache kollegium konzept tasche experimenta gesetzbuch abweg reichtume gleichheit reise wünsche enpfelung karfreit mandel stiefel stat diefsinnent englisch 
20	0,00943	kompliment nichte einladung neue eltern überbringer sontag anhänglichkeit minimum instruktion juwel wirtin mittel-geschöpf temperierpunkt nase riechfläschchen gerechtigkeit vorzüg schulgerechter guter 
21	0,00933	tugende ladung untugende unterschied liebhaber liier geschmier kläffer hunde haut tropf spitz franzose illuminat revolution lichtscheu ruder steuerruder jahrzehnt köpfe 
22	0,00937	schusterzunft muße rahmen büchelchen predigerjahre werkchen verlust dürr ausgebrütet locke wasser raum vorschlag 
23	0,01968	person täuschung laune stimmung flecken stillschweigen ort christoph akazienlaube maiental hes nachhing vorstelung sehnsuchtsvoller frühlingsgenüsse morgenluft lebewohl konten buchhandlung produkt 
